Time,0,1,2,3
0.0,0.000233883857727,-0.0001310777664184,0.0002062547206878,0.0005262386798858
0.0001,0.0004009437561035,-7.26068019866943e-05,0.0002146077156066,0.0005345916748046
0.0002,0.0003148436546325,-0.0001246523857116,0.0002120375633239,0.0005294513702392
0.0003,0.0002923548221588,-0.0002428793907165,0.0002281010150909,0.0005397319793701
0.0004,0.0002563726902008,3.91948223114014e-05,0.000249947309494,0.0005602931976318
0.0005,0.0002769339084625,-2.12037563323975e-05,0.0002441644668579,0.0005602931976318
0.0006,0.0001921188831329,-0.0001497113704681,0.0002351689338684,0.0005525827407836
0.0007,0.0003000652790069,-3.21269035339356e-06,0.0002493047714233,0.0005577230453491
0.0008,0.0002107524871826,-0.0001066613197326,0.0002261734008789,0.0005480849742889
0.0009,0.0003000652790069,0.0,0.0002184629440307,0.0005448722839355
0.001,0.0001869785785675,-3.46970558166504e-05,0.0002088248729705,0.0005313789844512
0.0011,0.0002171778678894,-3.21269035339356e-06,0.0002062547206878,0.0005236685276031
0.0012,0.0003617489337921,-0.0001111590862274,0.0001901912689208,0.0005095326900482
0.0013,0.000269865989685,-6.36112689971924e-05,0.00017991065979,0.0005056774616241
0.0014,0.000215892791748,-3.46970558166504e-05,0.0001657748222351,0.0004947543144226
0.0015,0.0001985442638397,6.74664974212647e-05,0.0001689875125885,0.0004876863956451
0.0016,0.0002621555328369,-7.32493400573731e-05,0.0001670598983764,0.0004953968524932
0.0017,0.000377812385559,5.91135025024414e-05,0.0001689875125885,0.0004915416240692
0.0018,0.0005037498474121,6.42538070678711e-06,0.0001651322841644,0.0004902565479278
0.0019,0.0001664173603057,-3.98373603820801e-05,0.0001824808120727,0.0005133879184722
0.002,0.0001889061927795,8.86702537536621e-05,0.0001863360404968,0.0005063199996948
0.0021,0.0001985442638397,7.06791877746582e-06,0.0001824808120727,0.000497967004776
0.0022,0.0002126801013946,-9.18829441070557e-05,0.0001741278171539,0.000483831167221
0.0023,2.18462944030762e-05,-8.35299491882324e-05,0.0001709151268005,0.0004883289337158
0.0024,3.21269035339356e-06,0.0001509964466094,0.000181838274002,0.0004934692382812
0.0025,4.36925888061523e-05,1.41358375549316e-05,0.0001612770557403,0.0004748356342315
0.0026,-1.79910659790039e-05,-5.84709644317627e-05,0.0001490688323974,0.0004671251773834
0.0027,1.47783756256104e-05,-4.43351268768311e-05,0.0001535665988922,0.0004709804058074
0.0028,-6.10411167144775e-05,6.93941116333008e-05,0.00017991065979,0.0004754781723022
0.0029,-0.0001445710659027,-4.36925888061523e-05,0.0001831233501434,0.0004908990859985
0.003,3.27694416046143e-05,3.01992893218994e-05,0.0001850509643554,0.0004883289337158
0.0031,-1.60634517669678e-05,-3.7909746170044e-05,0.0001850509643554,0.0004992520809173
0.0032,-0.000109874010086,-7.71045684814453e-05,0.0001805531978607,0.0004864013195037
0.0033,-1.28507614135742e-06,3.98373603820801e-05,0.0001837658882141,0.0004831886291503
0.0034,-4.69052791595459e-05,2.57015228271484e-06,0.0001856935024261,0.0004973244667053
0.0035,-0.0001644897460937,-0.0002904272079467,0.0002146077156066,0.0005153155326843
0.0036,-4.94754314422607e-05,-1.92761421203613e-05,0.0002203905582427,0.0005268812179565
0.0037,-0.0001272225379943,4.56202030181885e-05,0.0002056121826171,0.0005204558372497
0.0038,-0.0001574218273162,-0.0003270518779754,0.0002287435531616,0.0005371618270874
0.0039,-9.25254821777344e-05,-0.0001696300506591,0.0002377390861511,0.0005500125885009
0.004,8.99553298950195e-06,-3.91948223114014e-05,0.0002306711673736,0.0005512976646423
0.0041,-0.00021782040596,-0.0002968525886535,0.0002197480201721,0.0005268812179565
0.0042,-0.0002570152282714,-0.000107946395874,0.000213965177536,0.0005262386798858
0.0043,-0.0001587069034576,-0.0003270518779754,0.000199829339981,0.0005255961418151
0.0044,-0.0001677024364471,-0.0002242457866668,0.0001934039592742,0.0005185282230377
0.0045,-0.0002081823348999,-5.91135025024414e-05,0.0001927614212036,0.0005185282230377
0.0046,-0.0002962100505828,-0.0002512323856353,0.0002075397968292,0.0005326640605926
0.0047,-0.0002762913703918,-0.0003951609134674,0.0001985442638397,0.000519813299179
0.0048,-0.000271793603897,-0.0003276944160461,0.0001921188831329,0.0005121028423309
0.0049,-0.0002589428424835,-0.0002891421318054,0.0002004718780517,0.0005140304565429
0.005,-0.0001021635532379,-9.57381725311279e-05,0.0001985442638397,0.0005127453804016
0.0051,-0.0003469705581665,-0.0002987802028656,0.000215892791748,0.0005320215225219
0.0052,-0.0001985442638397,-0.0003790974617004,0.0002383816242218,0.0005345916748046
0.0053,6.87515735626221e-05,-0.0003386175632476,0.0002287435531616,0.0005326640605926
0.0054,-0.0002942824363708,-0.0003199839591979,0.0002120375633239,0.000515958070755
0.0055,-0.0001741278171539,-0.0001921188831329,0.0002043271064758,0.0005146729946136
0.0056,-0.0002415943145751,-0.000269865989685,0.0002203905582427,0.0005275237560272
0.0057,-0.0002101099491119,-0.000323839187622,0.0002113950252532,0.0005236685276031
0.0058,-0.0003283369541168,-0.0002550876140594,0.0001914763450622,0.0005082476139068
0.0059,-0.0002493047714233,-0.0001940464973449,0.0001741278171539,0.0004883289337158
0.006,-0.0003097033500671,-0.0003077757358551,0.0001606345176696,0.0004703378677368
0.0061,-0.0002640831470489,-0.0003604638576507,0.0001503539085388,0.0004626274108886
0.0062,-0.0001207971572875,-0.0002094674110412,0.0001387882232666,0.0004465639591217
0.0063,-0.0002724361419677,-0.0001844084262847,0.0001085889339447,0.000427930355072
0.0064,-0.0002769339084625,-0.0005153155326843,9.89508628845215e-05,0.000413794517517
0.0065,-0.0005056774616241,-0.0001612770557403,8.86702537536621e-05,0.0003983736038208
0.0066,-0.0003745996952056,-0.0002030420303344,8.48150253295898e-05,0.0004028713703155
0.0067,-0.0003077757358551,-0.0004613423347473,9.31680202484131e-05,0.0003996586799621
0.0068,-0.000163847208023,-5.39731979370117e-05,7.26068019866943e-05,0.0003848803043365
0.0069,-0.0003090608119964,-0.0002730786800384,9.05978679656983e-05,0.0003925907611846
0.007,-0.0003765273094177,-0.0003803825378417,9.63807106018067e-05,0.0004022288322448
0.0071,-0.0002261734008789,7.06791877746582e-06,0.0001060187816619,0.0004176497459411
0.0072,-0.0001754128932952,-0.000145856142044,0.0001137292385101,0.0004266452789306
0.0073,-0.0003206264972686,-0.000305848121643,0.0001252949237823,0.0004343557357788
0.0074,-0.0001850509643554,-7.06791877746582e-06,0.000127865076065,0.0004324281215667
0.0075,-0.0001304352283477,1.54209136962891e-05,0.0001310777664184,0.000445921421051
0.0076,-0.0003167712688446,-3.85522842407227e-05,0.0001509964466094,0.0004594147205352
0.0077,-0.0002345263957977,-8.73851776123047e-05,0.0001445710659027,0.0004523468017578
0.0078,-7.06791877746582e-05,-4.24075126647949e-05,0.0001169419288635,0.0004266452789306
0.0079,-0.0002313137054443,-0.0001182270050048,0.0001105165481567,0.0004144370555877
0.008,-0.0002043271064758,-5.20455837249756e-05,0.0001047337055206,0.0004131519794464
0.0081,-2.57015228271484e-06,-3.59821319580078e-05,0.0001246523857116,0.0004272878170013
0.0082,-0.0002113950252532,-0.0001297926902771,0.0001330053806304,0.0004388535022735
0.0083,-0.000231956243515,-4.69052791595459e-05,0.0001432859897613,0.0004504191875457
0.0084,-0.0001297926902771,9.63807106018067e-06,0.0001407158374786,0.0004452788829803
0.0085,-0.0003276944160461,-5.39731979370117e-05,0.0001362180709838,0.0004484915733337
0.0086,-0.0003212690353393,-0.0001651322841644,0.0001542091369628,0.0004722654819488
0.0087,-0.0003347623348236,-0.0001207971572875,0.0001934039592742,0.0005101752281188
0.0088,-0.0002486622333526,-8.48150253295898e-05,0.0002197480201721,0.0005371618270874
0.0089,-0.0002255308628082,-0.0001355755329132,0.0002268159389495,0.0005429446697235
0.009,-0.0002512323856353,-0.0003424727916717,0.0002428793907165,0.000551940202713
0.0091,-0.0001991868019104,-0.0001066613197326,0.0002287435531616,0.0005545103549957
0.0092,-0.0001599919795989,-0.0001169419288635,0.0002377390861511,0.0005596506595611
0.0093,-0.0003161287307739,-0.0003585362434387,0.0002325987815856,0.000551940202713
0.0094,-0.0001246523857116,-8.61001014709473e-05,0.000231956243515,0.0005525827407836
0.0095,-6.74664974212647e-05,-0.0001265799999237,0.0002448070049285,0.0005622208118438
0.0096,-0.0002171778678894,-0.0002281010150909,0.0002274584770202,0.000551940202713
0.0097,-0.0001908338069915,-0.0001464986801147,0.0002165353298187,0.0005397319793701
0.0098,-0.0001220822334289,-0.0001535665988922,0.000233883857727,0.0005365192890167
0.0099,-0.0002345263957977,-0.0002910697460174,0.0002248883247375,0.0005429446697235
0.01,-0.0002255308628082,0.0001362180709838,0.0002191054821014,0.0005416595935821
0.0101,-0.0001946890354156,-0.0002595853805541,0.0002011144161224,0.0005133879184722
0.0102,-0.0002268159389495,-0.0002563726902008,0.0001946890354156,0.0004992520809173
0.0103,-0.0002435219287872,-0.0001220822334289,0.0001940464973449,0.0004986095428466
0.0104,-6.48963451385498e-05,-0.0003174138069152,0.0001908338069915,0.0005018222332
0.0105,-0.0003649616241455,-0.0002493047714233,0.0001889061927795,0.0005101752281188
0.0106,-0.0002910697460174,-0.0002152502536773,0.0001895487308502,0.0005037498474121
0.0107,-0.0003296220302581,-0.0004112243652343,0.0001921188831329,0.0005076050758361
0.0108,-0.0002769339084625,-0.0003444004058837,0.0001728427410125,0.0004857587814331
0.0109,-0.0001709151268005,-0.0002313137054443,0.0001651322841644,0.0004774057865142
0.011,-0.0002364540100097,-0.000251874923706,0.0001670598983764,0.0004851162433624
0.0111,-0.0002615129947662,-0.0003495407104492,0.0001542091369628,0.0004767632484436
0.0112,-0.0002396667003631,-0.0003623914718627,0.0001310777664184,0.0004549169540405
0.0113,-0.0001824808120727,-0.0002473771572113,0.0001265799999237,0.0004568445682525
0.0114,-0.0002653682231903,-0.0003656041622161,0.0001342904567718,0.0004484915733337
0.0115,-0.0004009437561035,-0.000395803451538,0.0001509964466094,0.0004632699489593
0.0116,-0.0002242457866668,-0.0002448070049285,0.0001773405075073,0.0004864013195037
0.0117,-0.0001837658882141,-0.0003437578678131,0.0001773405075073,0.0004947543144226
0.0118,-0.0004015862941741,-0.0004144370555877,0.0001805531978607,0.0004902565479278
0.0119,-0.0002101099491119,-0.00035982131958,0.0001593494415283,0.0004709804058074
0.012,-0.0003167712688446,-0.000235811471939,0.0001503539085388,0.0004651975631713
0.0121,-0.0003097033500671,-0.0004600572586059,0.0001516389846801,0.0004735505580902
0.0122,-0.0002987802028656,-0.0003623914718627,0.0001651322841644,0.0004806184768676
0.0123,-0.0003521108627319,-0.0002621555328369,0.0001766979694366,0.0004812610149383
0.0124,-0.0004831886291503,-0.0003913056850433,0.0001940464973449,0.0004953968524932
0.0125,-0.0003148436546325,-0.0003064906597137,0.0002023994922637,0.0005056774616241
0.0126,-0.0002486622333526,-0.000163847208023,0.0001882636547088,0.0005056774616241
0.0127,-0.000253802537918,-0.0003109884262084,0.0001901912689208,0.0005108177661895
0.0128,-0.0002795040607452,-0.0005153155326843,0.0002133226394653,0.0005268812179565
0.0129,-0.0002390241622924,-5.84709644317627e-05,0.0002152502536773,0.000519813299179
0.013,-0.0003347623348236,-0.0003296220302581,0.0002004718780517,0.0005063199996948
0.0131,-0.0003456854820251,-0.0003167712688446,0.0001953315734863,0.0005011796951293
0.0132,-0.0002788615226745,-9.63807106018067e-05,0.0001722002029418,0.0004915416240692
0.0133,-0.0002705085277557,-0.0002653682231903,0.0001670598983764,0.0004767632484436
0.0134,-0.0003019928932189,-0.0001715576648712,0.0001567792892456,0.0004716229438781
0.0135,-0.0002036845684051,-6.29687309265137e-05,0.0001574218273162,0.0004774057865142
0.0136,-0.0002268159389495,-0.0002846443653106,0.0001651322841644,0.0004812610149383
0.0137,-0.0002171778678894,-0.0001162993907928,0.0001747703552246,0.0004966819286346
0.0138,-0.0001368606090545,-0.0001792681217193,0.000199829339981,0.0005172431468963
0.0139,-0.0001420009136199,-0.0002403092384338,0.0002152502536773,0.0005435872077941
0.014,-0.0001786255836486,-0.0001587069034576,0.0002261734008789,0.0005461573600769
0.0141,-0.0002608704566955,-7.06791877746582e-05,0.0002345263957977,0.0005570805072784
