Frequency (Hz),Power,Log Power
1185.9,0.019236818362957642,0.008275103495057046
1186.0,0.018208426483099772,0.007836686847822157
1186.1000000000001,0.005405587343815918,0.0023412944049321185
1186.2,0.008421495743943783,0.0036420946238844977
1186.3,0.0016804686488036866,0.0007292057289646734
1186.4,0.005915024533425944,0.00256129489987918
1186.5,0.009408583775126437,0.004066993552333967
1186.6000000000001,0.005333112192195964,0.002309986947185851
1186.7,0.014570642390137972,0.006282291420742819
1186.8,0.02115063718703891,0.00908981267800944
1186.9,0.033561700228163016,0.014336407686857056
1187.0,0.02125608031337403,0.009134655233187416
1187.1000000000001,0.009247999615097903,0.003997897287716701
1187.2,0.0015023667025640141,0.0006519799347866117
1187.3,0.013218866805206907,0.005703268044196806
1187.4,0.008391215899588012,0.0036290538797027283
1187.5,0.01058090860674928,0.004571089503777476
1187.6000000000001,0.019209635386167993,0.008263520736235526
1187.7,0.020467118357135303,0.008799015376321698
1187.8,0.0068853037439703755,0.0029800020451087603
1187.9,0.028537265470389414,0.01222003146580675
1188.0,0.008556150073372758,0.003700082011542085
1188.1000000000001,0.012814042136730437,0.005529713980764325
1188.2,0.007301095959125853,0.0031593064702125444
1188.3,0.006948856407340122,0.0030074130122747823
1188.4,0.01722318395802759,0.007416249803218719
1188.5,0.015069883845752158,0.006495942863824189
1188.6000000000001,0.007814630797290799,0.00338065887032231
1188.7,0.016776910361965984,0.007225675413532108
1188.8,0.0124246319084746,0.005362702835283341
1188.9,0.011488986069790345,0.004961158174390278
1189.0,0.013059270304971771,0.005634855047721002
1189.1000000000001,0.001348525179390278,0.0005852625121326176
1189.2,0.013665972198974754,0.005894867887222308
1189.3,0.012215338071495505,0.0052729138751048555
1189.4,0.007803296424407957,0.0033757745561549682
1189.5,0.0027486028691587816,0.0011920655510790415
1189.6000000000001,0.032063686879928825,0.01370649768568361
1189.7,0.013750899211946077,0.005931252444971342
1189.8,0.014160643367537891,0.006106752829924855
1189.9,0.009365255680597928,0.004048351392424518
1190.0,0.011270687513964213,0.004867419051736297
1190.1000000000001,0.007326810491663932,0.0031703930629782906
1190.2,0.0049736435307571585,0.0021546720856111656
1190.3,0.014639421885502171,0.006311731995518275
1190.4,0.004512443791307277,0.0019553211105744176
1190.5,0.012080214691920922,0.005214934853086658
1190.6000000000001,0.004705964828339289,0.0020389806255524433
1190.7,0.015191544247750531,0.006547991768055127
1190.8,0.024058168785330528,0.01032462623453331
1190.9,0.009996856902214604,0.004320022265664116
1191.0,0.01259360612547171,0.005435180770363369
1191.1000000000001,0.017905102318267,0.007707291300741048
1191.2,0.020179661447271135,0.008676661079830813
1191.3,0.006357169977176136,0.002752145153670288
1191.4,0.007618252194809192,0.0032960257928219055
1191.5,0.024740926315040858,0.010614081495731655
1191.6000000000001,0.0028707863692358556,0.0012449804961712913
1191.7,0.023412640141334113,0.01005077662840956
1191.8,0.006420383734220656,0.002779424259424693
1191.9,0.012239613402519311,0.00528332916471437
1192.0,0.007024277845777258,0.0030399408687676556
1192.1000000000001,0.02328095580134841,0.009994891582986899
1192.2,0.006671513225414844,0.002887779126879371
1192.3,0.015263845607693312,0.0065789208707848264
1192.4,0.007103540235191979,0.0030741226302765986
1192.5,0.008422709765322306,0.003642617463263138
1192.6000000000001,0.03084562046738173,0.013193630172648236
1192.7,0.003917412912989232,0.0016979871203294998
1192.8,0.032808301417585575,0.014019720007163563
1192.9,0.015396368325648807,0.0066356057704265725
1193.0,0.027245365705120043,0.011674190670600338
1193.1000000000001,0.014926035580743175,0.006434393471304287
1193.2,0.00897362139726027,0.003879812191952364
1193.3,0.009381669615488237,0.004055413675725157
