Frequency (Hz),Power,Log Power
1659.5,0.060058902232231905,0.025329997532425427
1659.6000000000001,0.04561522621017262,0.01937189879868467
1659.7,0.03810927277894603,0.0162430703401461
1659.8000000000002,0.0404088854036475,0.017204052544688205
1659.9,0.047956263144061755,0.020343157579426088
1660.0,0.04677447025797362,0.01985312210570083
1660.1000000000001,0.028348640083762314,0.012140378078550309
1660.2,0.05090117147531979,0.0215618761604717
1660.3000000000002,0.03856981928507768,0.016435697896629083
1660.4,0.05243892222271176,0.022196901171522992
1660.5,0.058761129929992446,0.024797988761925818
1660.6000000000001,0.059009905320201075,0.02490002224703785
1660.7,0.03928088835587137,0.016732940989809184
1660.8000000000002,0.03929327918642161,0.016738118836641183
1660.9,0.04861344560051766,0.02061542205276998
1661.0,0.041273799012160176,0.017564940620404042
1661.1000000000001,0.031582640710467506,0.013504025296952446
1661.2,0.04272290648750337,0.01816891420634742
1661.3000000000002,0.051231406544147685,0.021698327372733327
1661.4,0.049704289754694826,0.021066972007737945
1661.5,0.05248025380965421,0.022213956534355102
1661.6000000000001,0.03753799609929785,0.016004010149529097
1661.7,0.048216030921138305,0.020450797312149934
1661.8000000000002,0.028219558651003007,0.01208586069948006
1661.9,0.0585960724120833,0.024730278345100096
1662.0,0.01933079128181197,0.008315143295495915
1662.1000000000001,0.04501566164545551,0.01912279926547434
1662.2,0.03778096086386293,0.016105698862654894
1662.3000000000002,0.05013977029067145,0.021247106142515747
1662.4,0.0531610779752127,0.022494800364772926
1662.5,0.025519475873577436,0.010943912567971668
1662.6000000000001,0.06284138328552723,0.026468455959024185
1662.7,0.05279984818151629,0.022345813642662915
1662.8000000000002,0.03703950050117945,0.015795298841286998
1662.9,0.03685526607030745,0.0157181377449725
1663.0,0.03272633992002292,0.013985253941645893
1663.1000000000001,0.033009350963337944,0.014104252839463167
1663.2,0.03468130104172791,0.014806600505072624
1663.3000000000002,0.056774188707845986,0.023982197264827646
1663.4,0.04316877004768789,0.018354576855081493
1663.5,0.016409039952612912,0.007068519015165117
1663.6000000000001,0.04536706427051272,0.019268812931329992
1663.7,0.01785828107036357,0.007687314313464629
1663.8000000000002,0.018599134735120166,0.008003302922112753
1663.9,0.043106831911753775,0.01832878985873431
1664.0,0.04343965773132793,0.018467338813976206
1664.1000000000001,0.042120782524168045,0.017918056913450903
1664.2,0.0350289920230863,0.01495251491303389
1664.3000000000002,0.04442286511470385,0.018876371083159198
1664.4,0.03798291126416713,0.016190203604186153
1664.5,0.040459983433201126,0.017225381704452248
1664.6000000000001,0.048824103124766274,0.02070265935880163
1664.7,0.03820355468533744,0.016282511517964417
1664.8000000000002,0.05073511468521592,0.02149324625695353
1664.9,0.026515382652823948,0.011365461793491122
