Time,0,1
0.0,-0.0022867929935455,-0.0007877516746521
0.0001,-0.0025418806076049,-0.001139862537384
0.0002,-0.0028715026378631,-0.0016281914710998
0.0003,-0.0029890871047973,-0.0017052960395813
0.0004,-0.0031008887290954,-0.0016513228416442
0.0005,-0.0029871594905853,-0.0017406356334686
0.0006,-0.0030475580692291,-0.0017207169532775
0.0007,-0.002829737663269,-0.0014553487300872
0.0008,-0.0025065410137176,-0.0011572110652923
0.0009,-0.0023304855823516,-0.0009336078166961
0.001,-0.0020548367500305,-0.0006110537052154
0.0011,-0.001955885887146,-0.0005866372585296
0.0012,-0.0021235883235931,-0.0007440590858459
0.0013,-0.0021839869022369,-0.0006945836544036
0.0014,-0.0024769842624664,-0.0009528839588165
0.0015,-0.0026427590847015,-0.001443783044815
0.0016,-0.0028509414196014,-0.0016230511665344
0.0017,-0.0028862810134887,-0.0018768537044525
0.0018,-0.003187631368637,-0.0016950154304504
0.0019,-0.0028515839576721,-0.0016770243644714
0.002,-0.0028406608104705,-0.0014547061920166
0.0021,-0.0026459717750549,-0.0012375283241272
0.0022,-0.0022244668006897,-0.0009952914714813
0.0023,-0.0021287286281585,-0.0007973897457122
0.0024,-0.0019803023338317,-0.0006785202026367
0.0025,-0.0019822299480438,-0.0006322574615478
0.0026,-0.0020561218261718,-0.0007402038574218
0.0027,-0.0023806035518646,-0.0009702324867248
0.0028,-0.0024859797954559,-0.0013120627403259
0.0029,-0.0027712666988372,-0.0014476382732391
0.003,-0.0029087698459625,-0.0015562272071838
0.0031,-0.0030507707595825,-0.0017348527908325
0.0032,-0.0031555044651031,-0.0017175042629241
0.0033,-0.0028753578662872,-0.0015626525878906
0.0034,-0.0025778627395629,-0.0014861905574798
0.0035,-0.0024050199985504,-0.0009773004055023
0.0036,-0.0022148287296295,-0.0006592440605163
0.0037,-0.0020085740089416,-0.0006110537052154
0.0038,-0.0020259225368499,-0.0006573164463043
0.0039,-0.0020831084251403,-0.0006354701519012
0.004,-0.0022173988819122,-0.0007254254817962
0.0041,-0.0024429297447204,-0.0009702324867248
0.0042,-0.0028432309627533,-0.0014874756336212
0.0043,-0.0028715026378631,-0.0014894032478332
0.0044,-0.0028515839576721,-0.0015825712680816
0.0045,-0.0030443453788757,-0.0016108429431915
0.0046,-0.0028753578662872,-0.0015375936031341
0.0047,-0.0027474927902221,-0.0012664425373077
0.0048,-0.002581717967987,-0.0010916721820831
0.0049,-0.0022431004047393,-0.000749841928482
0.005,-0.0020972442626953,-0.0006290447711944
0.0051,-0.0020664024353027,-0.0006116962432861
0.0052,-0.0020696151256561,-0.00060591340065
0.0053,-0.0021595704555511,-0.0006232619285583
0.0054,-0.002315707206726,-0.0008603584766387
0.0055,-0.002491762638092,-0.001283791065216
0.0056,-0.0028984892368316,-0.0013795292377471
0.0057,-0.0029145526885986,-0.0018196678161621
0.0058,-0.0029665982723236,-0.0015241003036499
0.0059,-0.0030282819271087,-0.0013300538063049
0.006,-0.0026144874095916,-0.0015247428417205
0.0061,-0.0023915266990661,-0.0012780082225799
0.0062,-0.0023124945163726,-0.000819878578186
0.0063,-0.0021974802017211,-0.0007761859893798
0.0064,-0.0019687366485595,-0.0007357060909271
0.0065,-0.0020721852779388,-0.0006451082229614
0.0066,-0.0021094524860382,-0.0007723307609558
0.0067,-0.0023144221305847,-0.0010119974613189
0.0068,-0.0024030923843383,-0.0010171377658844
0.0069,-0.0026755285263061,-0.0013120627403259
0.007,-0.002951819896698,-0.0014476382732391
0.0071,-0.0028502988815307,-0.0014951860904693
0.0072,-0.0029646706581115,-0.0015472316741943
0.0073,-0.0028483712673187,-0.0016224086284637
0.0074,-0.0026292657852172,-0.0011199438571929
0.0075,-0.0025521612167358,-0.0009541690349578
0.0076,-0.0022700870037078,-0.0008147382736206
0.0077,-0.0020593345165252,-0.0005795693397521
0.0078,-0.0020008635520935,-0.0007877516746521
0.0079,-0.0021165204048156,-0.0006637418270111
0.008,-0.0021447920799255,-0.0007273530960083
0.0081,-0.002369680404663,-0.0010074996948242
0.0082,-0.0027468502521514,-0.001121871471405
0.0083,-0.0026768136024475,-0.0013467597961425
0.0084,-0.0028715026378631,-0.0016153407096862
0.0085,-0.0030340647697448,-0.001497756242752
0.0086,-0.0029132676124572,-0.0014212942123413
0.0087,-0.0026986598968505,-0.0012600171566009
0.0088,-0.0025720798969268,-0.0011617088317871
0.0089,-0.0024005222320556,-0.0007633352279663
0.009,-0.0022366750240325,-0.0006470358371734
0.0091,-0.002133868932724,-0.0004986095428466
0.0092,-0.0019314694404602,-0.0005031073093414
0.0093,-0.0020471262931823,-0.0006624567508697
0.0094,-0.0022572362422943,-0.0009580242633819
0.0095,-0.0024840521812439,-0.0010030019283294
0.0096,-0.0027346420288085,-0.0012143969535827
0.0097,-0.0028271675109863,-0.0015420913696289
0.0098,-0.0027860450744628,-0.0013904523849487
0.0099,-0.0028470861911773,-0.001565865278244
0.01,-0.0028406608104705,-0.0012555193901062
0.0101,-0.0025450932979583,-0.001155925989151
0.0102,-0.0023067116737365,-0.0008873450756073
0.0103,-0.0021595704555511,-0.0007993173599243
0.0104,-0.0020503389835357,-0.0004870438575744
0.0105,-0.0021505749225616,-0.0003707444667816
0.0106,-0.0021049547195434,-0.0006534612178802
0.0107,-0.0022540235519409,-0.0008783495426177
0.0108,-0.0024667036533355,-0.0008185935020446
0.0109,-0.0026626777648925,-0.0009676623344421
0.011,-0.0027012300491333,-0.0013763165473938
0.0111,-0.0026787412166595,-0.0015003263950347
