Feature,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6
spectral_entropy,0.17212212023371504,0.1350880235866653,0.5939286116762489,-0.040325941036049216,-0.30571748873451104,0.05881247347057181
spectral_centroid,0.19795359692898637,0.11523150891055474,0.4896089802091245,-0.12998364555553524,-0.428858530832525,0.006524463991848784
spectral_flatness,-0.22849812182616608,0.09682368231685341,0.46168662552425566,0.2832931031192385,0.342079537710077,0.025261414258095916
spectral_bandwidth,-0.2269955390399954,0.025940214135437612,0.26788560190674965,0.38242750466641723,0.38166320072888305,0.4146455972142683
std_dev_time_diff,0.07728512949592035,0.3675981245422965,0.04462550431678773,-0.03391917850130289,0.1819213865892269,-0.4112996523604583
mean_time_diff,0.07882492675616555,0.4639846028586981,-0.20309522399843857,0.2616018698079458,-0.12878038884121104,0.13213573254098934
median_time_diff,0.08018638067635879,0.4464495530379816,-0.21887490097060225,0.26024975130056743,-0.15192220420642738,0.19666325922614886
max_peak,0.422381700600185,-0.07430082665134485,0.011608184119759161,-0.11915469639301282,0.22517221935057988,0.2993993897458972
median_peak,0.3767012053372374,-0.03262408654713612,-0.06424062722175886,-0.19304851523645128,0.08274609039638431,0.5144255347692627
std_peak,0.3501120642041283,0.03042587526437109,0.08070882778620331,-0.2914934859777126,0.46204197375083794,-0.05421011902606941
avg_peaks_per_second,0.3318194002327481,0.18003751220979658,-0.08500459017282858,0.33167244372935395,-0.04151439778543925,-0.006832424363878041
sum_peak_magnitude,0.30363790322161544,-0.2310158402840436,-0.01729499134900964,0.44430940873158803,0.02422265477087579,-0.12991318437653096
percent_time_above_threshold,0.28902994126681847,-0.20713519804548824,0.10635389872928719,0.2620562399074449,0.14905432398160837,-0.3925898421473856
num_boilings,0.24738688746067705,-0.30018309373863905,-0.04190042928961558,0.28599253662890955,-0.1886326565547936,-0.06763341061179985
unused_peak_proportion,0.13750105641835433,0.42707203930448995,0.010102924318333551,-0.1527731062212451,0.23670646575243126,-0.25649206288978205
