PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,Cluster_2_PCs,Cluster_3_PCs,Cluster_4_PCs,Cluster_5_PCs,Cluster_6_PCs,file_name,date
-2.897945057740065,-0.5788669012967271,-1.533289630562583,0.7136320923442985,-0.3270819770500292,0.5215902167366882,0,0,1,1,0,"4-08 pm tue, jun 4, 2024 run4 .csv",2024-06-04
-2.6878074720609937,-0.20510479809283136,-0.5544447068320204,0.39971880511645874,-0.13464286320201624,0.8452589582664572,0,0,1,1,0,"2-00 pm tue, jun 4, 2024 run2 .csv",2024-06-04
-2.0048411652902813,-1.4819541957683724,-3.7196285499771538,2.1401842078765507,2.401781024457203,-0.1072439759601986,0,0,1,1,0,"10-49 am tue, jun 4, 2024 run0 .csv",2024-06-04
-0.0868703435378954,0.9516683057123051,-1.9721334016874552,0.41610665383133,1.7267651535113846,1.5366224502893127,0,1,0,0,1,"2-34 pm fri, jun 14, 2024 run13 .csv",2024-06-14
-1.6380204540388166,-0.5622750550142427,-0.8277436608933935,0.18164371968183163,1.8253331197881104,1.1464329858094104,0,0,1,1,0,"2-30 pm fri, jun 14, 2024 run11 .csv",2024-06-14
-3.616488250232032,-1.4399874341075423,-5.1941525412415706,3.017832331373126,-0.46864169275774403,1.0445530675083652,0,0,1,1,0,"2-26 pm fri, jun 14, 2024 run9 .csv",2024-06-14
-3.1785470729059604,0.10704376179141471,0.4719323515009373,0.32056485027767523,-0.6089581454189902,-0.6343874946740865,0,0,1,1,0,"2-27 pm fri, jun 14, 2024 run10 .csv",2024-06-14
-1.1280233459035127,3.6918989568396894,-0.9554039950661016,1.8522433906809759,-0.25313319955508745,1.192912352536958,0,0,1,1,0,"2-21 pm fri, jun 14, 2024 run7 .csv",2024-06-14
1.784776043178097,-0.8847873245841686,-0.29347231863662376,2.0156451880126385,2.9059702630774966,-1.1074737756050497,1,1,0,0,1,"2-48 pm fri, jun 14, 2024 run16 .csv",2024-06-14
0.13221641531093037,1.994399598042601,-2.2284130727935563,0.5994523141779687,1.8441037846115373,0.9077792898460852,0,1,0,0,1,"2-31 pm fri, jun 14, 2024 run12 .csv",2024-06-14
-3.7892629281519534,-0.641197983062146,-2.6390344349650348,1.9018858738917979,-1.1913507047199925,0.2974743838821897,0,0,1,1,0,"4-10 pm wed, jun 19, 2024 run0 .csv",2024-06-19
-2.5304179890241536,-0.7020296636434837,-1.7681910845161266,1.0205415620476477,0.76982319566199,0.47174073221618956,0,0,1,1,0,"4-15 pm wed, jun 19, 2024 run1 .csv",2024-06-19
-3.685621132600091,0.16339184318794422,0.2513404456263251,0.39944441272503506,-1.6150480613579994,-0.3914203606949182,0,0,1,1,0,"4-20 pm wed, jun 19, 2024 run2 .csv",2024-06-19
-3.4967689218701903,-1.137827791837721,-3.8631988707409723,2.51174541524627,-0.2333490896939176,0.05309581160444883,0,0,1,1,0,"3-21 pm thu, jun 27, 2024 run4.csv",2024-06-27
-3.5036234262380206,-0.3300722098894599,-0.872177921626667,0.9131582000228555,-0.9263296528000615,-0.9360580674530381,0,0,1,1,0,"3-18 pm thu, jun 27, 2024 run2.csv",2024-06-27
0.7543088547336302,-1.1011558126864134,-0.3859859049211469,1.374933350412186,1.26017722001418,-1.139185434197227,1,1,0,0,1,"1-00 pm fri, jun 28, 2024 run8 .csv",2024-06-28
-2.3059780529404987,-0.3707597242001413,-0.5452521444171189,0.34127471488928984,0.7678007875031262,0.3723065608159145,0,0,1,1,0,"12-42 pm fri, jun 28, 2024 run4 .csv",2024-06-28
2.4163080697858157,0.5684178917773897,1.6723315075961447,1.9077088876337487,-0.5134369697221729,-0.14808924804814944,1,1,0,0,1,"1-20 pm thu, aug 22, 2024 run6 .csv",2024-08-22
0.07972891155308831,0.9966542084344476,0.9789578874738035,0.1808114884146322,0.8254259508691723,0.32578413473000073,0,1,0,0,1,"1-04 pm thu, aug 22, 2024 run2.csv",2024-08-22
0.49690672028682764,1.4453447697193862,1.089012106125327,0.9454957516527395,0.567609128978305,0.2942665427925446,0,1,0,0,1,"1-05 pm thu, aug 22, 2024 run3 .csv",2024-08-22
0.14513684302891958,2.1916062511982974,1.0595182063318986,-0.3730726242439709,0.7760172946486151,0.7301504835776168,0,1,0,0,1,"12-59 pm thu, aug 22, 2024 run0.csv",2024-08-22
2.241604452580548,0.8512789304745862,1.9485682865267682,2.2325692932558168,-0.9845490054759038,0.349244118777186,1,1,0,0,1,"1-15 pm thu, aug 22, 2024 run5 .csv",2024-08-22
2.0180731775461727,0.6711522143920333,1.6988559990882244,2.0873677686187597,1.1028164143671066,-1.148341036646922,1,1,0,0,1,"1-10 pm thu, aug 22, 2024 run4 .csv",2024-08-22
1.7720883283504016,0.841767213936883,1.6137496020885367,1.8776169678340098,0.5637435736497348,-0.8467909886069979,1,1,0,0,1,"3-02 pm fri, aug 23, 2024 run3 .csv",2024-08-23
-3.066328663040853,0.6076190224518077,2.2933584940256466,-0.639459869564632,-0.7131949272171451,-0.9666973536240518,0,0,1,1,0,"2-45 pm fri, aug 23, 2024 run1 .csv",2024-08-23
-3.661224481835465,0.6881963439683098,1.9764018739783884,-0.3954095408666342,-1.8251680981166938,-0.6901625093117816,0,0,1,1,0,"2-40 pm fri, aug 23, 2024 run0 .csv",2024-08-23
2.126880485334664,0.5021613803183148,1.8547591952024975,2.390777867107442,-0.5085224847575592,-0.8493229468996324,1,1,0,0,1,"3-03 pm fri, aug 23, 2024 run4 .csv",2024-08-23
3.6299362702089275,0.12429304152789182,1.9045326069427184,3.359010359514215,-2.3194152162901887,-0.45674019748221817,1,1,0,0,1,"3-11 pm fri, aug 23, 2024 run5 .csv",2024-08-23
1.8468306858767642,0.2816540956664472,1.4857906886892347,1.823852446919174,0.9426106954948887,-1.4626670463397733,1,1,0,0,1,"3-40 pm mon, aug 26, 2024 run1 .csv",2024-08-26
-0.8182316066286751,3.272022182672408,1.4879794228599854,-0.172193647733823,-0.047306985547723654,0.013390611254201133,0,0,1,1,0,"3-33 pm mon, aug 26, 2024 run0 .csv",2024-08-26
1.659752919696078,0.32846828928869326,1.3974782969892874,2.4466977392439486,-0.4055388763522461,-1.1176640488706904,1,1,0,0,1,"3-48 pm mon, aug 26, 2024 run2 .csv",2024-08-26
0.02607163309733939,2.0487201342665573,1.3379586993485015,1.0679141145894884,0.1135515682454972,0.5143169585000936,0,1,0,0,1,"3-52 pm thu, aug 29, 2024 run2 .csv",2024-08-29
1.5900677732241046,-1.3859479423719838,-0.2314108100059729,-0.7909910527318171,0.45209729770795803,0.08330576862379739,1,1,0,0,1,"4-26 pm thu, sep 5, 2024 run8 .csv",2024-09-05
4.1902255716724435,-0.013077682298418956,0.6325683517156452,2.531062712359711,-0.580036322838873,-0.7556802519126354,1,1,0,0,1,"4-08 pm thu, sep 5, 2024 run3 .csv",2024-09-05
2.7900930419934578,-1.1291773976274329,0.017510918301642975,0.5431440515542445,-0.2633965046718684,-0.5221333582559706,1,1,0,0,1,"3-58 pm thu, sep 5, 2024 run1 .csv",2024-09-05
1.5154007806749403,2.0741205723002465,0.40957674122243676,1.5483748888779483,0.1819987806901393,1.0760004910430903,1,1,0,0,1,"4-16 pm thu, sep 5, 2024 run5 .csv",2024-09-05
4.063351150254554,-0.06737726815003604,0.2447953012827747,1.6576518335621893,-0.8209223981053997,-0.27980222922913595,1,1,0,0,1,"4-22 pm thu, sep 5, 2024 run6 .csv",2024-09-05
3.183869208311886,-0.42800181804281784,0.5196011088294268,1.5523707379057892,-0.10788252257366118,-0.8291467697937036,1,1,0,0,1,"3-55 pm thu, sep 5, 2024 run0 .csv",2024-09-05
1.197411609400196,-1.1358641596044088,-0.42951480458317787,-1.3111591767397694,0.40905492449207914,1.0992071609557577,1,1,0,0,1,"12-29 pm fri, sep 6, 2024 run3 .csv",2024-09-06
2.7424451554448885,-1.8252132448728235,0.17880774422878998,0.35086180470291717,0.9721491723541567,-0.6272963757526673,1,1,0,0,1,"12-25 pm fri, sep 6, 2024 run0 .csv",2024-09-06
-1.5984733543534508,-0.31209307911109224,0.27853555198459967,-0.5109587449898844,1.69869035973224,0.7532085392818152,0,0,1,1,0,"12-27 pm fri, sep 6, 2024 run1 .csv",2024-09-06
1.0613959959762127,-0.9226362593259733,-0.4691583218690634,-1.1732798575130932,0.6111059881538331,1.128822749638429,1,1,0,0,1,"12-29 pm fri, sep 6, 2024 run2 .csv",2024-09-06
-1.253027258066382,-0.15589344284705675,1.4965338126025487,-0.882920700522317,2.6564513712034357,-0.7513900617183025,0,0,1,1,0,"2-12 pm mon, sep 9, 2024 run0 .csv",2024-09-09
-0.5061635885957169,2.658601328818705,0.13013843295838373,-0.25118157134689784,0.7016618945692024,-0.3694558577609166,0,1,1,1,1,"2-32 pm mon, sep 9, 2024 run2 .csv",2024-09-09
1.555809914545985,7.571136150341452,1.8538959114812876,1.746463866977794,-0.45072023181136234,4.222654302805712,0,1,0,0,1,"12-19 pm tue, sep 10, 2024 run4 .csv",2024-09-10
